id;Date;Aéroport_départ;depart_x;depart_y;Aéroport_Destination;destination_x;destination_y;départ_IATA;destination_IATA;Heurelocale;HeureArrivé;Durée_trajet;Compagnie;Num_Vol;Prix_Camp1;
21;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Heathrow Airport;51.47397190914563;-0.4547353841720964;SVO;LHR;10:00;14:05;04:05;Aeroflot;SU2578;169;
22;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;SVO;FRA;10:15;13:35;03:30;Aeroflot;SU2300;90;
23;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;SVO;FRA;11:05;15:37;03:32;AirBridgeCargo Airlines;RU565;89;
24;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Antalya Airport;36.90591678165104;30.80168679901064;SVO;AYT;13:15;16:58;03:43;Royal Flight;RL205;182;
25;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;SVO;CDG;15:50;21:30;03:40;Air France;AF1155;560;
26;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;SVO;AMS;17:00;20:50;03:50;KLM;KL904;135;
27;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;CDG;FRA;07:00;08:30;01:30;Lufthansa;LH1051;99;
28;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;CDG;AMS;07:10;08:25;01:15;Air France;AF1240;150;
29;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;CDG;SVO;09:20;13:03;03:43;Air France;AF1154;337;
30;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;CDG;MAD;10:05;12:10;02:05;Air France;AF1300;80;
31;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Flughafen Frankfurt/Main;49.0142434999854;2.544806865954252;CDG;FRA;10:10;11:40;01:30;Lufthansa;LH1027;100;
32;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Heathrow Airport;51.47397190914563;-0.4547353841720964;CDG;LHR;10:15;11:25;01:10;Air France;AF1580;150;
33;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;CDG;AMS;12:20;13:40;01:20;KLM;KL1230;153;
34;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;CDG;AMS;14:30;15:45;01:15;Air France;AF1740;154;
35;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;CDG;AMS;14:50;16:15;01:25;KLM;KL1234;160;
36;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;CDG;MAD;16:00;18:10;02:10;Air France;AF1800;79;
37;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Cairo International Airport;30.111387712189778;31.387836926213836;CDG;CAI;16:40;21:25;04:45;Egyptair;MS800;450;
38;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;CDG;AMS;18:25;19:37;01:12;Air France;AF1140;159;
39;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;CDG;FRA;18:35;20:08;01:33;Lufthansa;LH1041;105;
40;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;CDG;AMS;20:55;22:20;01:25;KLM;KL1244;160;
41;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Heathrow Airport;51.47397190914563;-0.4547353841720964;CDG;LHR;20:55;22:10;01:15;Air France;AF1380;155;
42;2021-04-23;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;CDG;MAD;08:00;10:05;02:05;Air France;AF1400;83;
43;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;AMS;CDG;08:05;09:27;01:22;KLM;KL1229;260;
44;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;AMS;FRA;08:40;09:55;01:15;Lufthansa;LH1003;140;
45;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Heathrow Airport;51.47397190914563;-0.4547353841720964;AMS;LHR;09:30;11:03;01:33;KLM;KL1007;70;
46;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;AMS;CDG;09:30;10:52;01:22;Air France;AF1241;275;
47;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;AMS;MAD;09:50;12:25;02:35;KLM;KL1701;90;
48;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;AMS;FRA;11:15;12:25;01:10;KLM;KL1765;150;
49;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;AMS;FRA;11:50;13:05;01:15;Lufthansa;LH989;156;
50;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;AMS;SVO;12:25;16:20;03:55;KLM;KL903;300;
51;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;AMS;CDG;13:15;14:30;01:15;KLM;KL1233;265;
52;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;AMS;SVO;13:50;17:40;03:50;AirBridgeCargo Airlines;RU536;290;
53;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;AMS;MAD;14:30;17:00;02:30;KLM;KL1703;91;
54;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;AMS;CDG;15:40;17:00;01:22;Air France;AF1741;259;
55;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Cairo International Airport;30.111387712189778;31.387836926213836;AMS;CAI;15:55;20:45;04:50;Egyptair;MS758;290;
56;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Heathrow Airport;51.47397190914563;-0.4547353841720964;AMS;LHR;16:30;18:05;01:35;KLM;KL1021;300;
57;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Paris-Charles de Gaulle;52.315831708548586;4.771203370264353;AMS;CDG;16:40;18:00;01:20;KLM;KL1243;269;
58;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;AMS;FRA;18:30;19:40;01:10;KLM;KL1771;158;
59;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;AMS;FRA;18:40;19:55;01:15;Lufthansa;LH997;170;
60;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;AMS;CDG;19:00;20:20;01:20;Air France;AF1141;272;
61;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;AMS;MAD;19:10;21:43;02:33;Air Europa;UX1094;95;
62;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Heathrow Airport;51.47397190914563;-0.4547353841720964;AMS;LHR;20:50;22:20;01:30;KLM;KL1033;298;
63;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;AMS;MAD;22:45;23:18;02:33;KLM;KL1707;93;
64;2021-04-23;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;AMS;SVO;06:15;10:10;03:55;AirBridgeCargo Airlines;RU574;292;
65;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;LHR;CDG;06:30;07:55;01:25;Air France;AF1381;90;
66;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;LHR;AMS;08:20;09:42;01:22;KLM;KL1000;100;
67;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;LHR;FRA;09:30;11:10;01:40;British Airways;BA906;124;
68;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;LHR;FRA;09:55;11:40;01:45;Lufthansa;LH901;130;
69;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;LHR;AMS;10:35;11:55;01:20;KLM;KL1008;104;
70;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;LHR;MAD;11:50;14:15;02:25;Iberia;IB3163;92;
71;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;LHR;CDG;13:25;14:55;01:30;Air France;AF1581;95;
72;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;LHR;SVO;15:00;19:00;04:00;Aeroflot;SU2579;272;
73;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Cairo International Airport;30.111387712189778;31.387836926213836;LHR;CAI;17:10;22:20;05:10;Egyptair;MS778;406;
74;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;LHR;AMS;17:30;18:50;01:20;KLM;KL1022;108;
75;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;LHR;FRA;17:35;19:20;01:45;Lufthansa;LH915;132;
76;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;LHR;CDG;18:45;20:20;01:35;Air France;AF1281;99;
77;2021-04-23;Heathrow Airport;51.47397190914563;-0.4547353841720964;Aeropuerto de Adolfo Suárez Madrid-Barajas;40.49848719017528;-3.5676196599853203;LHR;MAD;07:00;09:30;02:30;Iberia;IB3167;100;
78;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;FRA;AMS;07:00;08:05;01:05;KLM;KL1762;202;
79;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;FRA;AMS;07:00;08:10;01:10;China Southern Airlines;CZ7651;140;
80;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;FRA;AMS;07:00;08:15;01:15;Delta Air Lines;DL9589;80;
81;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;FRA;AMS;07:05;08:12;01:07;Garuda Indonesia;GA9083;90;
82;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;FRA;CDG;08:00;09:15;01:15;Air France;AF1019;110;
83;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Aéroport de Paris-Charles de Gaulle;49.0142434999854;2.544806865954252;FRA;CDG;22:00;23:15;01:15;Air France;AF1019;120;
84;2021-04-23;Flughafen Frankfurt/Main;50.04636632467995;8.561325677686595;Heathrow Airport;51.47397190914563;-0.4547353841720964;FRA;LHR;08:00;09:35;01:35;Lufthansa;LH900;200;
